problem_type,problem_ind,problem_id,perm_invariant,correct_answer,generated_response,generated_response_sum_logprob,generated_response_pred_set,generated_response_correct,mc_answer_logprobs,mc_response_index,mc_response,mc_response_sum_logprob,mc_response_correct,model,revision,instruct,model_family,model_n_params,training_step
XOR,14,XOR_14,True,[6 7],"5 9]
[6 9] [7",-5.661638259887695,[5 9],False,"[-6.063098907470703, -4.971406936645508, -14.869077682495117, -18.028409957885742, -14.8670072555542, -4.168670654296875, 0.0, -3.053743362426758]",6,],0.0,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
c3_set_union_permuted,14,c3_set_union_permuted_14,True,[1 0 6 9],"0 9]
[1 1] [6",-4.947408676147461,[0 9],False,"[0.0, -2.0577640533447266, -6.985317230224609, -8.721817016601562, -3.1060009002685547, -9.264749526977539, -2.6734962463378906, -8.715400695800781]",0,],0.0,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
c2_set_union_permuted,14,c2_set_union_permuted_14,True,[3],"1 9] [9]
[0 1",-5.289960861206055,[1 9],False,"[-8.644603729248047, -4.582521438598633, -4.369028091430664, -5.210380554199219, -3.792001724243164, -4.887096405029297, -6.0328521728515625, -4.355825424194336]",4,9 1],-3.792001724243164,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
c1_set_union_permuted,14,c1_set_union_permuted_14,True,[5],"2] [2]
[2 2]",-8.296518325805664,[2],False,"[-3.701122283935547, -6.325279235839844, -2.970174789428711, -3.808185577392578, -3.6106948852539062, -4.081581115722656, -2.3063182830810547, -12.135869979858398]",6,2],-2.3063182830810547,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
XOR_permuted,14,XOR_permuted_14,True,[1 3],"7 3]
[7 3] [9",-5.784431457519531,[3 7],False,"[-3.9983768463134766, -3.685016632080078, 0.0, -4.389892578125, -9.995304107666016, -4.42193603515625, -7.874668121337891, -8.675662994384766]",2,],0.0,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
AND_permuted,14,AND_permuted_14,True,[],"0] [0]
[7] [",-6.942296981811523,[0],False,"[-5.487096786499023, -2.0144424438476562, 0.0, -13.939138412475586, -2.1589126586914062, -17.088512420654297, -17.312210083007812, -4.330270767211914]",2,],0.0,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
row_constant,15,row_constant_15,False,[4],"4]
[5] [5] [",-2.4838714599609375,[4],True,"[-0.05177879333496094, -5.080190658569336, -6.847236633300781, -4.90611457824707, -6.383586883544922, -5.0453033447265625, -8.33369255065918, -3.825307846069336]",0,4],-0.0517787933349609,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
col_constant,15,col_constant_15,False,[6],"6]
[5] [0] [",-0.4666805267333984,[6],True,"[-4.633903503417969, -3.769002914428711, -2.4706974029541016, -0.2789325714111328, -4.93739128112793, -2.920064926147461, -4.571577072143555, -5.352590560913086]",3,6],-0.2789325714111328,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
dist3_diag1,15,dist3_diag1_15,False,[7],"7] [3]
[7] [",-2.944843292236328,[7],True,"[-3.1662864685058594, -0.5631790161132812, -2.5823726654052734, -3.7507476806640625, -3.3393516540527344, -3.9088592529296875, -2.0313148498535156, -3.072690963745117]",1,7],-0.5631790161132812,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
dist3_diag2,15,dist3_diag2_15,False,[7],"7] [0]
[0] [",-2.089670181274414,[7],True,"[-2.959230422973633, -3.7516040802001953, -4.809816360473633, -0.6409816741943359, -1.8659858703613281, -3.6331424713134766, -2.3113479614257812, -3.413248062133789]",3,7],-0.6409816741943359,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb0,15,two_rule_comb0_15,False,[3 7],"3 7]
[2 6] [2",-2.8389625549316406,"[3, 7]",True,"[-7.131580352783203, -6.376270294189453, -4.8127899169921875, -8.386619567871094, -8.817955017089844, -8.59274673461914, -9.011510848999023, -0.07917213439941406]",7,3 7],-0.079172134399414,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb1,15,two_rule_comb1_15,False,[1 3],"1 3]
[3 4] [1",-3.452505111694336,"[1, 3]",True,"[-4.077259063720703, -6.760480880737305, -5.4892120361328125, -5.304685592651367, -1.069620132446289, -2.7069530487060547, -4.772129058837891, -5.858316421508789]",4,1 3],-1.069620132446289,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb2,15,two_rule_comb2_15,False,[8 5],"8 5]
[0 7] [0",-3.9718017578125,"[8, 5]",True,"[-0.32842445373535156, -7.800140380859375, -5.385290145874023, -7.529969215393066, -3.105184555053711, -8.985105514526367, -3.7783355712890625, -6.247819900512695]",0,8 5],-0.3284244537353515,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb3,15,two_rule_comb3_15,False,[5 3],"5 3]
[5 3] [9",-7.323604583740234,"[5, 3]",True,"[-4.5721893310546875, -5.674774169921875, -3.753864288330078, -4.311891555786133, -5.807201385498047, -3.6721363067626953, -2.7995986938476562, -4.988199234008789]",6,5 3],-2.799598693847656,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb4,15,two_rule_comb4_15,False,[6 6],"6 4]
[6 4] [3",-3.7261714935302734,"[6, 4]",False,"[-4.180135726928711, -6.26664924621582, -4.901226043701172, -3.994617462158203, -4.038936614990234, -6.793811798095703, -5.583475112915039, -3.0804805755615234]",7,4 6],-3.080480575561523,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb5,15,two_rule_comb5_15,False,[6 1],"6 2]
[5 2] [6",-2.2444629669189453,"[6, 2]",False,"[-4.162841796875, -1.548116683959961, -3.472146987915039, -1.8720016479492188, -7.165266036987305, -4.318204879760742, -4.406225204467773, -2.779510498046875]",1,6 2],-1.548116683959961,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb0,15,three_rule_comb0_15,False,[4 7 2],"4 7 2]
[1 6 0]",-3.795358657836914,"[4, 7, 2]",True,"[-12.011344909667969, -12.598167419433594, -11.033985137939453, -11.955976486206055, -8.207975387573242, -0.08358383178710938, -5.37828254699707, -10.980432510375977]",5,4 7 2],-0.0835838317871093,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb1,15,three_rule_comb1_15,False,[0 3 0],"0 3 7]
[0 0 3]",-5.930591583251953,"[0, 3, 7]",False,"[-10.89145278930664, -5.23161506652832, -8.911054611206055, -5.710847854614258, -9.555318832397461, -9.628652572631836, -9.856512069702148, -3.044118881225586]",7,0 3 0],-3.044118881225586,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb2,15,three_rule_comb2_15,False,[9 5 2],"9 5 2]
[1 2 3]",-6.097644805908203,"[9, 5, 2]",True,"[-7.113191604614258, -5.035806655883789, -5.464326858520508, -6.355443954467773, -9.847856521606445, -0.4162483215332031, -8.221439361572266, -4.889341354370117]",5,9 5 2],-0.4162483215332031,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb3,15,three_rule_comb3_15,False,[1 3 9],"1 3 9]
[2 4 8]",-5.831254959106445,"[1, 3, 9]",True,"[-2.488069534301758, -8.496650695800781, -9.415813446044922, -10.157251358032227, -9.297853469848633, -5.803117752075195, -8.135339736938477, -7.806333541870117]",0,1 3 9],-2.488069534301758,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb4,15,three_rule_comb4_15,False,[9 8 8],"9 8 2]
[5 2 2]",-6.613245010375977,"[9, 8, 2]",False,"[-9.091833114624023, -8.493215560913086, -4.68852424621582, -9.268400192260742, -6.791452407836914, -6.504945755004883, -5.113462448120117, -4.155553817749023]",7,9 8 8],-4.155553817749023,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb5,15,three_rule_comb5_15,False,[0 9 8],"0 9 4]
[0 8 6]",-6.770591735839844,"[0, 9, 4]",False,"[-10.571739196777344, -9.77638053894043, -3.8315563201904297, -3.7924652099609375, -6.892330169677734, -7.575111389160156, -5.626031875610352, -5.871362686157227]",3,1 7 4],-3.7924652099609375,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb6,15,three_rule_comb6_15,False,[9 0 8],"0 0 2]
[0 2 2]",-8.887151718139648,"[0, 0, 2]",False,"[-8.729496002197266, -6.054588317871094, -4.97593879699707, -4.123128890991211, -6.045528411865234, -4.918561935424805, -7.163042068481445, -7.408111572265625]",3,0 0 2],-4.123128890991211,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb7,15,three_rule_comb7_15,False,[3 0 0],"3 2 2]
[4 2 2]",-7.782815933227539,"[3, 2, 2]",False,"[-4.411420822143555, -6.983488082885742, -7.982322692871094, -8.196741104125977, -4.406679153442383, -8.289039611816406, -4.973539352416992, -7.434804916381836]",4,4 2 0],-4.406679153442383,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb8,15,three_rule_comb8_15,False,[3 8 3],"2 6]
[5 6 4] [",-5.524169921875,"[2, 6]",False,"[-7.320066452026367, -7.923677444458008, -6.383434295654297, -6.8911590576171875, -8.170358657836914, -10.054679870605469, -6.681659698486328, -4.327997207641602]",7,5 6 4],-4.327997207641602,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb9,15,three_rule_comb9_15,False,[8 1 5],"8 2 6]
[4 3 7]",-5.34623908996582,"[8, 2, 6]",False,"[-7.801458358764648, -3.616230010986328, -7.512763977050781, -7.147026062011719, -4.506010055541992, -10.121898651123047, -4.751443862915039, -8.609548568725586]",1,4 3 7],-3.616230010986328,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
c3_set_union,15,c3_set_union_15,True,[0 4 1 2],"0 1]
[0 1] [1",-6.895221710205078,[0 1],False,"[-9.531686782836914, -5.474956512451172, -3.484292984008789, -4.965349197387695, -4.119020462036133, -6.732089996337891, -5.513227462768555, -6.761468887329102]",2,0 4],-3.484292984008789,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
c1_set_union,15,c1_set_union_15,True,[5],"5]
[4 1] [4]",-6.354791641235352,[5],True,"[-6.499088287353516, 0.0, -11.655214309692383, -2.508756637573242, -1.9009933471679688, -2.930948257446289, -6.879323959350586, -1.7298870086669922]",1,],0.0,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
c2_set_union,15,c2_set_union_15,True,[0],"7 0 1] [1 0]
[",-4.228061676025391,[0 1 7],False,"[-3.526407241821289, -4.205354690551758, 0.0, -4.857860565185547, -4.672245025634766, -5.51045036315918, -4.654869079589844, -5.829383850097656]",2,],0.0,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
AND,15,AND_15,True,[0],"0] [0]
[4 0]",-4.858098983764648,[0],True,"[-6.529689788818359, -18.11512565612793, -5.313640594482422, -6.327852249145508, -10.639825820922852, -1.7378597259521484, -11.637065887451172, 0.0]",7,],0.0,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
XOR,15,XOR_15,True,[8 0],"0 8]
[9 6] [6",-5.475334167480469,[0 8],True,"[-4.325098037719727, -10.171590805053711, -4.88090705871582, 0.0, -8.797307968139648, -9.741044998168945, -8.404781341552734, -2.6129684448242188]",3,],0.0,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
c3_set_union_permuted,15,c3_set_union_permuted_15,True,[7 0 6 1],"0 7]
[6 1] [1",-4.147468566894531,[0 7],False,"[-6.8981781005859375, -5.940900802612305, -5.333404541015625, -6.190805435180664, -12.907325744628906, -5.262020111083984, -3.739320755004883, -8.997129440307617]",6,7 0],-3.739320755004883,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
c2_set_union_permuted,15,c2_set_union_permuted_15,True,[3],5 3 3] [5 3 3 3],-8.921239852905273,[3 3 5],False,"[-9.295450210571289, -4.8839263916015625, -5.236530303955078, -3.438426971435547, -6.078798294067383, -6.899625778198242, 0.0, -6.450006484985352]",6,],0.0,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
c1_set_union_permuted,15,c1_set_union_permuted_15,True,[2],"2]
[2 4] [2]",-5.675554275512695,[2],True,"[-9.945114135742188, -1.7382545471191406, -3.3954734802246094, -5.091104507446289, -1.84686279296875, -13.618167877197266, -8.199342727661133, -11.695302963256836]",1,2],-1.7382545471191406,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
XOR_permuted,15,XOR_permuted_15,True,[0 7],"0 7]
[6 7] [7",-4.816167831420898,[0 7],True,"[-7.685319900512695, -4.294406890869141, -1.9755630493164062, -6.82957649230957, -14.0685453414917, -2.541667938232422, -10.058698654174805, -7.938512802124023]",2,0 7],-1.9755630493164065,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
AND_permuted,15,AND_permuted_15,True,[],"5] [5]
[1 5]",-5.162210464477539,[5],False,"[-9.604928970336914, -11.945091247558594, 0.0, -2.7672367095947266, -18.67357635498047, -4.709375381469727, -10.160163879394531, -6.814888000488281]",2,],0.0,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
row_constant,16,row_constant_16,False,[3],"3]
[1] [1] [",-2.3648929595947266,[3],True,"[-5.699319839477539, -3.4696617126464844, -8.385173797607422, -3.301942825317383, -5.909576416015625, -0.11245918273925781, -3.661977767944336, -6.381082534790039]",5,3],-0.1124591827392578,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
col_constant,16,col_constant_16,False,[7],"7]
[6] [5] [",-0.3778667449951172,[7],True,"[-4.8802947998046875, -6.016457557678223, -4.75544548034668, -5.673553466796875, -4.395305633544922, -5.262420654296875, -3.540346145629883, -0.1518878936767578]",7,7],-0.1518878936767578,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
dist3_diag1,16,dist3_diag1_16,False,[6],"6]
[6] [1] [",-3.1657752990722656,[6],True,"[-3.2804203033447266, -2.3935165405273438, -4.066972732543945, -2.3657054901123047, -3.0665435791015625, -3.555967330932617, -3.0608692169189453, -0.5574569702148438]",7,6],-0.5574569702148438,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
dist3_diag2,16,dist3_diag2_16,False,[5],"5] [0]
[9] [",-2.6487483978271484,[5],True,"[-3.2669754028320312, -1.4323444366455078, -4.209875106811523, -1.691518783569336, -3.597187042236328, -4.13848876953125, -0.9280586242675781, -4.023050308227539]",6,5],-0.928058624267578,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb0,16,two_rule_comb0_16,False,[7 3],"7 3]
[8 2] [8",-2.6186790466308594,"[7, 3]",True,"[-7.376293182373047, -5.895166397094727, -8.015119552612305, -6.202249526977539, -7.496892929077148, -0.053985595703125, -6.106889724731445, -5.376016616821289]",5,7 3],-0.053985595703125,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb1,16,two_rule_comb1_16,False,[7 3],"2 3]
[2 9] [7",-5.023195266723633,"[2, 3]",False,"[-5.357870101928711, -4.421735763549805, -6.033758163452148, -4.466590881347656, -5.566883087158203, -4.667367935180664, -2.4001998901367188, -2.5257835388183594]",6,7 3],-2.4001998901367188,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb2,16,two_rule_comb2_16,False,[4 9],"4 9]
[1 5] [1",-5.165935516357422,"[4, 9]",True,"[-2.6625804901123047, -1.6185855865478516, -10.771068572998047, -4.543336868286133, -8.103204727172852, -5.417692184448242, -4.345554351806641, -5.059200286865234]",1,4 9],-1.6185855865478516,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb3,16,two_rule_comb3_16,False,[0 5],0 5] [2 4] [7 9,-2.1165943145751953,"[0, 5]",True,"[-5.584173202514648, -5.531166076660156, -3.638040542602539, -5.350183486938477, -2.349254608154297, -7.06236457824707, -5.743827819824219, -0.5659580230712891]",7,0 5],-0.5659580230712891,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb4,16,two_rule_comb4_16,False,[1 0],"2 0]
[7 0] [2",-8.203010559082031,"[2, 0]",False,"[-4.344184875488281, -5.247486114501953, -5.171884536743164, -5.226675033569336, -3.5724754333496094, -4.706932067871094, -4.622951507568359, -4.968809127807617]",4,1 0],-3.57247543334961,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb5,16,two_rule_comb5_16,False,[1 9],"2 9]
[3 8] [2",-2.368532180786133,"[2, 9]",False,"[-5.702365875244141, -6.958000183105469, -2.1608963012695312, -7.883815765380859, -1.4099578857421875, -4.683210372924805, -5.629230499267578, -7.666255950927734]",4,2 9],-1.4099578857421875,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb0,16,three_rule_comb0_16,False,[6 3 1],"6 3 1]
[0 6 8]",-5.2530517578125,"[6, 3, 1]",True,"[-8.245615005493164, -6.069679260253906, -10.295063018798828, -7.192913055419922, -10.590478897094727, -9.449478149414062, -1.1268634796142578, -5.988975524902344]",6,6 3 1],-1.1268634796142578,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb1,16,three_rule_comb1_16,False,[4 6 0],"4 4 0]
[0 4 8]",-5.888586044311523,"[4, 4, 0]",False,"[-4.096187591552734, -7.794746398925781, -6.541893005371094, -3.7154197692871094, -10.869636535644531, -3.2735328674316406, -5.742973327636719, -6.0590972900390625]",5,4 4 4],-3.2735328674316406,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb2,16,three_rule_comb2_16,False,[3 5 1],"7 3 2]
[0 0 0]",-9.38656234741211,"[7, 3, 2]",False,"[-6.1358489990234375, -7.224325180053711, -6.175056457519531, -5.124263763427734, -5.051851272583008, -7.029502868652344, -7.822267532348633, -8.499958038330078]",4,3 5 1],-5.051851272583008,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb3,16,three_rule_comb3_16,False,[1 9 6],"1 9 6]
[1 9 8]",-7.46806526184082,"[1, 9, 6]",True,"[-8.409828186035156, -8.656152725219727, -8.372537612915039, -7.388490676879883, -8.271440505981445, -4.830465316772461, -9.373054504394531, -3.7375640869140625]",7,1 9 6],-3.7375640869140625,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb4,16,three_rule_comb4_16,False,[0 0 0],"0 3 0]
[1 2 3]",-5.64251708984375,"[0, 3, 0]",False,"[-7.186044692993164, -5.484048843383789, -8.4427490234375, -3.6613197326660156, -6.707220077514648, -9.100700378417969, -8.233606338500977, -6.198150634765625]",3,0 0 0],-3.661319732666016,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb5,16,three_rule_comb5_16,False,[7 5 6],"7 5 4]
[6 4 5]",-3.255575180053711,"[7, 5, 4]",False,"[-7.146703720092773, -10.981660842895508, -9.222463607788086, -3.1312427520751953, -11.736675262451172, -8.834796905517578, -5.294548034667969, -8.875377655029297]",3,7 5 6],-3.1312427520751953,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb6,16,three_rule_comb6_16,False,[0 5 4],"0 5 9]
[0 5 9]",-4.922513961791992,"[0, 5, 9]",False,"[-7.612531661987305, -3.629566192626953, -7.734035491943359, -9.942028045654297, -7.338779449462891, -2.103565216064453, -6.332195281982422, -6.380542755126953]",5,0 5 9],-2.103565216064453,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb7,16,three_rule_comb7_16,False,[8 8 0],"8 2 3]
[5 2 1]",-9.52107048034668,"[8, 2, 3]",False,"[-7.305896759033203, -5.999601364135742, -8.688680648803711, -8.273202896118164, -8.245000839233398, -5.867740631103516, -6.257717132568359, -6.503562927246094]",5,8 5 4],-5.867740631103516,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb8,16,three_rule_comb8_16,False,[4 6 7],"4 7 7]
[7 3 6]",-5.890735626220703,"[4, 7, 7]",False,"[-5.57667350769043, -2.8942337036132812, -5.632530212402344, -4.113315582275391, -5.292062759399414, -9.473884582519531, -5.643533706665039, -4.741960525512695]",1,4 6 7],-2.8942337036132812,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb9,16,three_rule_comb9_16,False,[6 0 8],"6 2 4]
[5 1 6]",-4.054782867431641,"[6, 2, 4]",False,"[-6.294780731201172, -7.3936614990234375, -7.640663146972656, -9.890151977539062, -10.651697158813477, -7.242912292480469, -7.904277801513672, -6.350156784057617]",0,5 1 6],-6.294780731201172,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
c3_set_union,16,c3_set_union_16,True,[6 2 8 3],"6 8]
[2] [3]",-7.222616195678711,[6 8],False,"[-3.9604873657226562, -7.135707855224609, -5.79627799987793, -6.767923355102539, -4.344785690307617, -10.390800476074219, -3.475879669189453, -6.727848052978516]",6,2 3],-3.475879669189453,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
c1_set_union,16,c1_set_union_16,True,[8],"0]
[0 9] [0]",-6.990455627441406,[0],False,"[0.0, -3.1087779998779297, -4.487592697143555, -2.7135353088378906, -5.284090042114258, -7.8886566162109375, -7.050018310546875, -3.280008316040039]",0,],0.0,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
c2_set_union,16,c2_set_union_16,True,[7],"2 7 2 6] [2 6]
",-6.114400863647461,[2 2 6 7],False,"[-5.127574920654297, -4.608856201171875, 0.0, -8.673620223999023, -7.2024383544921875, -2.786123275756836, -3.7821102142333984, -7.429121017456055]",2,],0.0,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
AND,16,AND_16,True,[8],"8] [8]
[9 8]",-3.656879425048828,[8],True,"[-11.885169982910156, -14.048012733459473, -13.183385848999023, -10.563440322875977, -1.5633544921875, -14.582626342773438, -7.589113235473633, -11.012598037719727]",4,8],-1.5633544921875,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
XOR,16,XOR_16,True,[8 4],"2 4]
[9 1] [1",-6.57423210144043,[2 4],False,"[-12.997187614440918, -5.336433410644531, 0.0, -7.396518707275391, -6.4016571044921875, -17.671899795532227, -7.226408004760742, -3.8828697204589844]",2,],0.0,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
c3_set_union_permuted,16,c3_set_union_permuted_16,True,[5 7 2 0],"2 0]
[0 2] [2",-9.060813903808594,[0 2],False,"[-11.732930183410645, -9.288785934448242, -3.9013519287109375, 0.0, -4.87689208984375, -6.201231002807617, -6.246675491333008, -12.76047134399414]",3,],0.0,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
c2_set_union_permuted,16,c2_set_union_permuted_16,True,[3],"2] [2]
[6] [",-7.287282943725586,[2],False,"[-5.340185165405273, -5.973054885864258, -4.684780120849609, -4.853157043457031, -6.850505828857422, -8.756475448608398, -2.9508895874023438, 0.0]",7,],0.0,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
c1_set_union_permuted,16,c1_set_union_permuted_16,True,[0],"2] [7]
[7 2]",-6.045732498168945,[2],False,"[-4.211984634399414, -14.09882926940918, -1.7978096008300781, -3.2119178771972656, -4.867000579833984, -2.6989574432373047, -4.901538848876953, -9.349323272705078]",2,2],-1.797809600830078,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
XOR_permuted,16,XOR_permuted_16,True,[7 8],"8 4]
[8 5] [4",-7.3100128173828125,[4 8],False,"[-8.830047607421875, -14.838018417358398, -6.698833465576172, -3.9764347076416016, -14.164946556091309, -13.72574520111084, -4.579046249389648, -3.518014907836914]",7,7 8],-3.518014907836914,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
AND_permuted,16,AND_permuted_16,True,[],"0]
[3] [7] [",-4.967796325683594,[0],False,"[-17.29924964904785, 0.0, -12.66134262084961, -1.9806385040283203, -7.76789665222168, -6.561994552612305, -7.171628952026367, -12.757132530212402]",1,],0.0,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
row_constant,17,row_constant_17,False,[7],"7]
[9] [9] [",-1.116230010986328,[7],True,"[-5.509515762329102, -5.920940399169922, -5.700849533081055, -7.831916809082031, -0.015911102294921875, -7.834230422973633, -6.7138214111328125, -7.57060432434082]",4,7],-0.0159111022949218,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
col_constant,17,col_constant_17,False,[5],"5]
[6] [7] [",-0.3729209899902344,[5],True,"[-2.7593555450439453, -4.74652099609375, -5.727815628051758, -4.788110733032227, -6.15492057800293, -4.810651779174805, -0.16529464721679688, -3.4455204010009766]",6,5],-0.1652946472167968,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
dist3_diag1,17,dist3_diag1_17,False,[3],"3]
[6] [1] [",-4.02775764465332,[3],True,"[-2.6134490966796875, -1.5615787506103516, -3.6287460327148438, -2.2205162048339844, -1.7230701446533203, -1.4545974731445312, -3.117429733276367, -2.6475830078125]",5,3],-1.4545974731445312,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
dist3_diag2,17,dist3_diag2_17,False,[5],"5] [4]
[2] [",-3.354694366455078,[5],True,"[-1.6916351318359375, -0.44721031188964844, -3.6973304748535156, -2.9613380432128906, -2.7533798217773438, -6.849584579467773, -4.498785018920898, -5.58936882019043]",1,5],-0.4472103118896484,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb0,17,two_rule_comb0_17,False,[9 0],"9 0]
[5 9] [5",-3.874908447265625,"[9, 0]",True,"[-6.793487548828125, -3.955646514892578, -4.270898818969727, -0.37689208984375, -6.44291877746582, -5.782711029052734, -6.775896072387695, -6.666284561157227]",3,9 0],-0.37689208984375,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb1,17,two_rule_comb1_17,False,[7 7],"5 7]
[4 2] [7",-5.36407470703125,"[5, 7]",False,"[-3.4892234802246094, -4.279184341430664, -5.743898391723633, -5.125883102416992, -7.482587814331055, -4.8895111083984375, -4.313043594360352, -3.898042678833008]",0,7 7],-3.48922348022461,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb2,17,two_rule_comb2_17,False,[9 4],"9 4]
[7 0] [9",-3.0910472869873047,"[9, 4]",True,"[-2.376676559448242, -6.059562683105469, -0.7083301544189453, -6.118965148925781, -4.719348907470703, -7.1375274658203125, -6.490322113037109, -5.990331649780273]",2,9 4],-0.7083301544189453,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb3,17,two_rule_comb3_17,False,[5 5],"5 5] [1 3]
[1",-2.0651683807373047,"[5, 5]",True,"[-7.233558654785156, -5.137851715087891, -3.2178955078125, -6.80787467956543, -3.3396224975585938, -5.149690628051758, -8.611368179321289, -0.3497581481933594]",7,5 5],-0.3497581481933594,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb4,17,two_rule_comb4_17,False,[5 9],"6 9]
[7 8] [7",-4.729738235473633,"[6, 9]",False,"[-4.288442611694336, -9.228994369506836, -3.9655208587646484, -5.257993698120117, -6.406391143798828, -3.0727596282958984, -2.971128463745117, -5.4234619140625]",6,5 6],-2.971128463745117,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb5,17,two_rule_comb5_17,False,[6 4],"6 4]
[5 3] [6",-1.3061141967773438,"[6, 4]",True,"[-4.676240921020508, -0.3911933898925781, -4.861499786376953, -10.005365371704102, -4.927661895751953, -5.62629508972168, -9.291324615478516, -5.098546981811523]",1,6 4],-0.3911933898925781,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
